,Repository Path,Copy Path,Corrected File Path,Duplicate Files,File Size,Date of File Creation,Line/Pixel Count,Page Number
106,./repository/0/617/434/173/023/568,./extractedFiles/8f9e65ef3fbb20dd37c1439dad47160d.jpg,./extractedFiles/8f9e65ef3fbb20dd37c1439dad47160d.txt,,523,2019-10-18 11:28:04.965241,13,[Pg 111]
107,./repository/228/835/878/021/360/723,./extractedFiles/ed9b32b7f06ce3f1ee2087d8538a8a22.txt,./extractedFiles/ed9b32b7f06ce3f1ee2087d8538a8a22.txt,,1248,2019-10-18 11:28:04.960841,23,[Pg 112]
108,./repository/06/818/314/041/648/784,./extractedFiles/4b8f784691cea4cfc0413ff8ed18e960.txt,./extractedFiles/4b8f784691cea4cfc0413ff8ed18e960.txt,,1277,2019-10-18 11:28:04.985409,20,[Pg 113]
109,./repository/256/603/625/775/315/586,./extractedFiles/cdfd685cb5d1a935b775c2a63066ca52.txt,./extractedFiles/cdfd685cb5d1a935b775c2a63066ca52.txt,,1281,2019-10-18 11:28:04.963082,29,[Pg 114]
110,./repository/028/508/736/754/022,./extractedFiles/d22bae049c57dcc63b9db7e8b058dc20.txt,./extractedFiles/d22bae049c57dcc63b9db7e8b058dc20.txt,,1117,2019-10-18 11:28:04.989332,20,[Pg 115]
111,./repository/5/104/006/354/450/041/001/834,./extractedFiles/43b810019e9400adb54453cd60094015.jpg,./extractedFiles/43b810019e9400adb54453cd60094015.txt,,1404,2019-10-18 11:28:05.001312,21,[Pg 116]
112,./repository/82/600/344/041/443/222,./extractedFiles/9f2c22b3cf441cd404439c0069c2faf8.txt,./extractedFiles/9f2c22b3cf441cd404439c0069c2faf8.txt,,1355,2019-10-18 11:28:04.997392,20,[Pg 117]
113,./repository/47/324/145/312/808/288/836,./extractedFiles/63888e280a8f21e3df5414dba23e9974.txt,./extractedFiles/63888e280a8f21e3df5414dba23e9974.txt,,1322,2019-10-18 11:28:04.998077,19,[Pg 118]
114,./repository/7/328/056/101/480/660/286,./extractedFiles/b968cca206e6e084910a1695f0b82a37.txt,./extractedFiles/b968cca206e6e084910a1695f0b82a37.txt,,1250,2019-10-18 11:28:04.970009,20,[Pg 119]
115,./repository/33/166/536/841/036/064,./extractedFiles/dfa4fd6cf0c630148a63ad56afb6133d.txt,./extractedFiles/dfa4fd6cf0c630148a63ad56afb6133d.txt,,1391,2019-10-18 11:28:04.958630,25,[Pg 120]
116,./repository/53/887/502/475/680/041,./extractedFiles/c91fcd4c900ee865742057883fee5dba.jpg,./extractedFiles/c91fcd4c900ee865742057883fee5dba.txt,,1199,2019-10-18 11:28:04.983806,22,[Pg 121]
117,./repository/8/734/867/058/637/256/138,./extractedFiles/8316f5ba2c7fc3685ac07da96843cc78.txt,./extractedFiles/8316f5ba2c7fc3685ac07da96843cc78.txt,,1314,2019-10-18 11:28:04.977337,22,[Pg 122]
118,./repository/860/305/280/680/286/268/764,./extractedFiles/46acdcc786268ab208f608b25b0e3068.txt,./extractedFiles/46acdcc786268ab208f608b25b0e3068.txt,,1335,2019-10-18 11:28:04.962578,20,[Pg 123]
